"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"Google Trust Services LLC","GTS Root R1","Included","serverAuth;clientAuth;emailProtection","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","2A575471E31340BC21581CBD2CF13E158463203ECE94BCF9D3CC196BF09A5472"
"Google Trust Services LLC","GTS Root R2","Included","serverAuth;clientAuth;emailProtection","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","C45D7BB08E6D67E62E4235110B564E5F78FD92EF058C840AEA4E6455D7585C60"
"Google Trust Services LLC","GTS Root R2","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","8D25CD97229DBF70356BDA4EB3CC734031E24CF00FAFCFD32DC76EB5841C7EA8"
"Google Trust Services LLC","GTS Root R3","Included","serverAuth;clientAuth;emailProtection","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","15D5B8774619EA7D54CE1CA6D0B0C403E037A917F131E8A04E1E6B7A71BABCE5"
"Google Trust Services LLC","GTS Root R3","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","34D8A73EE208D9BCDB0D956520934B4E40E69482596E8B6F73C8426B010A6F48"
"Google Trust Services LLC","GTS Root R4","Included","serverAuth;clientAuth;emailProtection","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","71CCA5391F9E794B04802530B363E121DA8A3043BB26662FEA4DCA7FC951A4BD"
"Google Trust Services LLC","GTS Root R4","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","349DFA4058C5E263123B398AE795573C4E1313C83FE68F93556CD5E8031B3C7D"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)","Autoridade Certificadora Raiz Brasileira v10","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing","Not Yet Included","","6E0BFF069A26994C15DE2C4888CC54AF84882E5495B7FBF66BE9CCFFEC7489F6"
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)","Autoridade Certificadora Raiz Brasileira v5","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","CAA53FC6091C6951887C976E378F6EF89AA6377C55D97B6475422B71ED7E9B17"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)","DVV Gov. Root CA - G3 ECC","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","5546A52504FBA74F61FFD4890067529ADE3B9C9D07E502592831CCDA9B369FD3"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)","DVV Gov. Root CA - G3 RSA","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","D3ED3FC40AD26B52E001E1E18F4B9449529DEB75A81D5EB680D7B62DB23BA96D"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)","VRK Gov. Root CA - G2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Not Yet Included","","34FF2A4409DC1383E9F8966E8ADFE5719EBA373FD0AD5E2F49F90EE07CF5D4C1"
"Government of Hong Kong (SAR), Hongkong Post, Certizen","Hongkong Post Root CA 2","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","3945E08A8D4A0554B7605A7B355B10188E3EF842C76A805C54E3657C4D041AAA"
"Government of Hong Kong (SAR), Hongkong Post, Certizen","Hongkong Post Root CA 3","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication;OCSP Signing","Included","Websites","5A2FC03F0C83B090BBFA40604B0988446C7636183DF9846E17101A447FB8EFD6"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)","CCA India 2022","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","9A3FD3176798E842DDCB12C262F11CFACCA70A8B84C6EA6FDA30842A95A94CD8"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)","CCA India 2022 SPL","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","B724689B79B2EF9421EF8F5CC733EB093851B170EE715177005A09F226D8C91A"
"Government of Japan, Digital Agency","Japanese Government Root CA","Not Included","","Not Included","Included","Document Signing","Not Yet Included","","D7A5514D93F7D53BD27DE2051F8E1FF71CA0AC78FACFE46A8BCCA4589984AE64"
"Government of Korea, KLID","GPKIRootCA1","Not Included","","Not Included","NotBefore","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","407C276BEAD2E4AF0661EF6697341DEC0A1F9434E4EAFB2D3D32A90549D9DE4A"
"Government of Korea, KLID","MOIS SSL Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","1CF341AE35341AC3AE1DC68D5B10DC0C9DC1307656F75FD92CA2C68489D52E9A"
"Government of Saudi Arabia, NIC (SDAIA)","Saudi National Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Not Yet Included","","34BB34E14FAED0D3392F2FC441C0ECD5FD88AD88118DF2D1BA76CDEC1EEA10B8"
"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)","ACCVRAIZ1","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email","Included","Websites","9A6EC012E1A7DA9DBE34194D478AD7C0DB1822FB071DF12981496ED104384113"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)","AC RAIZ FNMT-RCM","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Included","Websites","EBC5570C29018C4D67B1AA127BAF12F703B4611EBC17B7DAB5573894179B93FA"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)","AC RAIZ FNMT-RCM G2","Not Included","","Not Included","Included","Client Authentication;Document Signing","Not Yet Included","","020786539F02B623CFDF325B2E4E45E0D9E3F1B8E5EC9600EBF0AC8FBF03FBE2"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)","AC RAIZ FNMT-RCM SERVIDORES SEGUROS","Not Included","","Included","Included","Server Authentication","Included","Websites","554153B13D2CF9DDB753BFBE1A4E0AE08D0AA4187058FE60A2B862B2E4B87BCB"
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)","FNMT Clase 2 CA","Not Included","","Not Included","Included","Server Authentication;Secure Email","Not Yet Included","","62B9267266212832A8E22DAB933D91C7011274ACF71703F9CC97833751A6E94F"
"Government of Sweden (Försäkringskassan)","Swedish Government Root Authority v3","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","8F9ADB6D895DAB5ADF5C3D3FAB83927BE0FB64EF82485C62280D584E8BD55D22"
"Government of The Netherlands, PKIoverheid (Logius)","Staat der Nederlanden EV Root CA","Not Included","","Removed","Included","Server Authentication;Client Authentication","Removed","","4D2491414CFE956746EC4CEFA6CF6F72E28A1329432F9D8A907AC4CB5DADC15A"
"Government of The Netherlands, PKIoverheid (Logius)","Staat der Nederlanden Root CA - G3","Removed","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;IP Security Tunnel Termination;IP Security User;Secure Email","Included","Email","3C4FB0B95AB8B30032F432B86F535FE172C185D0FD39865837CF36187FA6F428"
"Government of Turkey, Kamu Sertifikasyon Merkezi (Kamu SM)","TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","46EDC3689046D53A453FB3104AB80DCAEC658B2660EA1629DD7E867990648716"
"Halcom D.D.","Halcom Root Certificate Authority","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","D7BA3F4FF8AD05633451470DDA3378A3491B90005E5C687D2B68D53647CFDD66"
"HARICA","HARICA Client ECC Root CA 2021","Included","clientAuth;emailProtection","Not Included","Included","Client Authentication;Document Signing;Secure Email","Included","Email","8DD4B5373CB0DE36769C12339280D82746B3AA6CD426E797A31BABE4279CF00B"
"HARICA","HARICA Client RSA Root CA 2021","Included","clientAuth;emailProtection","Not Included","Included","Client Authentication;Document Signing;Secure Email","Included","Email","1BE7ABE30686B16348AFD1C61B6866A0EA7F4821E67D5E8AF937CF8011BC750D"
"HARICA","HARICA Code Signing ECC Root CA 2021","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","794E774638CE7B3CF05EBC8967CF47315316C351DC26387476E0C099C2ED47CC"
"HARICA","HARICA Code Signing RSA Root CA 2021","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","C40EBDCD75A90E4B7496ABB23E789A48E33C03284F75D95130575AE6860AE13C"
"HARICA","HARICA TLS ECC Root CA 2021","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","3F99CC474ACFCE4DFED58794665E478D1547739F2E780F1BB4CA9B133097D401"
"HARICA","HARICA TLS RSA Root CA 2021","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","D95D0E8EDA79525BF9BEB11B14D2100D3294985F0C62D9FABD9CD999ECCB7B1D"
"HARICA","Hellenic Academic and Research Institutions ECC RootCA 2015","Included","serverAuth;clientAuth;emailProtection","Removed","NotBefore","Server Authentication;Client Authentication;Code Signing;Secure Email","Included","Websites;Email","44B545AA8A25E65A73CA15DC27FC36D24C1CB9953A066539B11582DC487B4833"
"HARICA","Hellenic Academic and Research Institutions RootCA 2011","Removed","","Not Included","NotBefore","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Removed","","BC104F15A48BE709DCA542A7E1D4B9DF6F054527E802EAA92D595444258AFE71"
"HARICA","Hellenic Academic and Research Institutions RootCA 2015","Included","serverAuth;clientAuth;emailProtection","Removed","NotBefore","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","A040929A02CE53B4ACF4F2FFC6981CE4496F755E6D45FE0B2A692BCD52523F36"
"IdenTrust Services, LLC","IdenTrust Commercial Root CA 1","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","5D56499BE4D2E08BCFCAD08A3E38723D50503BDE706948E42F55603019E528AE"
"IdenTrust Services, LLC","IdenTrust Public Sector Root CA 1","Included","serverAuth;clientAuth;emailProtection","Removed","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","30D0895A9A448A262091635522D1F52010B5867ACAE12C78EF958FD4F4389F2F"
"Image-X Enterprises Inc","esignit.org","Not Included","","Not Included","Included","Client Authentication;Document Signing","Not Yet Included","","C665175BD60ED70A5EEA3344CBE5D1A6936F79BC27A8384E4C734200417C279F"
"Internet Security Research Group","ISRG Root X1","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","96BCEC06264976F37460779ACF28C5A7CFE8A3C0AAE11A8FFCEE05C0BDDF08C6"
"Internet Security Research Group","ISRG Root X2","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","69729B8E15A86EFC177A57AFB7171DFC64ADD28C2FCA8CF1507E34453CCB1470"
"iTrusChina Co., Ltd.","vTrus ECC Root CA","Not Included","","Included","Not Included","","Included","Websites","30FBBA2C32238E2A98547AF97931E550428B9B3F1C8EEB6633DCFA86C5B27DD3"
"iTrusChina Co., Ltd.","vTrus Root CA","Not Included","","Included","Not Included","","Included","Websites","8A71DE6559336F426C26E53880D00D88A18DA4C6A91F0DCB6194E206C5C96387"
"Izenpe S.A.","Izenpe.com","Included","serverAuth;clientAuth","Included","Included","Server Authentication","Included","Websites","2530CC8E98321502BAD96F9B1FBA1B099E2D299E0F4548BB914F363BC0D4531F"
"Krajowa Izba Rozliczeniowa S.A. (KIR)","SZAFIR ROOT CA2","Not Included","","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","A1339D33281A0B56E557D3D32B1CE7F9367EB094BD5FA72A7E5004C8DED7CAFE"
"LAWtrust","LAWtrust Root CA2 (4096)","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Included","Email","48E1CF9E43B688A51044160F46D773B8277FE45BEAAD0E4DF90D1974382FEA99"
"LAWtrust","LAWtrust Root Certification Authority 2048","Not Included","","Not Included","Included","Client Authentication;Secure Email","Not Yet Included","","9B14E8F5F6EA167666E76DCD6BECC190861D5E8970B99A9470F0231236049704"
"Macao Post and Telecommunications Bureau","eSignTrust Root Certification Authority (G03)","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","0E30D04A94DCC423E26FDC4C24AFCF4923BD80D83B661B06A2F5856361560407"
"Microsec Ltd.","e-Szigno Root CA 2017","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","BEB00B30839B9BC32C32E4447905950641F26421B15ED089198B518AE2EA1B99"
"Microsec Ltd.","e-Szigno TLS Root CA 2023","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Included","Websites","B49141502D00663D740F2E7EC340C52800962666121A36D09CF7DD2B90384FB4"
"Microsec Ltd.","Microsec e-Szigno Root CA 2009","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","3C5F81FEA5FAB82C64BFA2EAECAFCDE8E077FC8620A7CAE537163DF36EDBF378"
"Microsoft Corporation","Microsoft ECC Product Root Certificate Authority 2018","Not Included","","Not Included","Included","","Not Yet Included","","CACA93B9D23D2B6FA76E8B8471931E0DF3EC6F63AF3CDBB936C41954A1872326"
"Microsoft Corporation","Microsoft ECC Root Certificate Authority 2017","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","358DF39D764AF9E1B766E9C972DF352EE15CFAC227AF6AD1D70E8E4A6EDCBA02"
"Microsoft Corporation","Microsoft ECC TS Root Certificate Authority 2018","Not Included","","Not Included","Included","","Not Yet Included","","3FD4BE8BAAD2F26E1BDE06C7584BB720DD1A972D111F5A4999BC44B08FB4960D"
"Microsoft Corporation","Microsoft Identity Verification Root Certificate Authority 2020","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","5367F20C7ADE0E2BCA790915056D086B720C33C1FA2A2661ACF787E3292E1270"
"Microsoft Corporation","Microsoft Root Certificate Authority 2010","Not Included","","Not Included","Included","","Not Yet Included","","DF545BF919A2439C36983B54CDFC903DFA4F37D3996D8D84B4C31EEC6F3C163E"
"Microsoft Corporation","Microsoft Root Certificate Authority 2011","Not Included","","Not Included","Included","","Not Yet Included","","847DF6A78497943F27FC72EB93F9A637320A02B561D0A91B09E87A7807ED7C61"
"Microsoft Corporation","Microsoft RSA Root Certificate Authority 2017","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication","Included","Websites","C741F70F4B2A8D88BF2E71C14122EF53EF10EBA0CFA5E64CFA20F418853073E0"
"Microsoft Corporation","Microsoft Time Stamp Root Certificate Authority 2014","Not Included","","Not Included","Included","Time Stamping","Not Yet Included","","65AF95F4BE86847344634282F941B2E605063EF0C8542F014CA088D182109E4F"
"MULTICERT","MULTICERT Root Certification Authority 01","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","604D32D036895AED3BFEFAEB727C009EC0F2B3CDFA42A1C71730E6A72C3BE9D4"
"NAVER Cloud Trust Services","NAVER Cloud Trust Services ECC Root G1","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","A7C8681042F3675AA8505D3BA313D80F8AC3250FDF874AD29B834689C087FB11"
"NAVER Cloud Trust Services","NAVER Cloud Trust Services RSA Root G1","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","49A2762987788D4834B32305D767760F244D507742E8C2539FD4CA3AD52C16EE"
"NAVER Cloud Trust Services","NAVER Global Root Certification Authority","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites","88F438DCF8FFD1FA8F429115FFE5F82AE1E06E0C70C375FAAD717B34A49E7265"
"Netlock","NetLock Arany (Class Gold) Főtanúsítvány","Blocked","","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","6C61DAC3A2DEF031506BE036D2A6FE401994FBD13DF9C8D466599274C446EC98"
"Netlock","NetLock Platina (Class Platinum) Főtanúsítvány","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","EB7E05AA58E7BD328A282BF8867033F3C035342B516EE85C01673DFFFFBBFE58"
"Netrust Pte Ltd","Netrust Root CA 2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","Not Yet Included","","65353833CF234C79562164F90849C0D104DBABF8EE41064D83E8CBE03BA1C5A5"
"Nets DanID","TRUST2408 OCES Primary CA","Removed","","Not Included","NotBefore","Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email","Not Yet Included","","92D8092EE77BC9208F0897DC05271894E63EF27933AE537FB983EEF0EAE3EEC8"
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.","Főtanúsítványkiadó - Kormányzati Hitelesítés Szolgáltató","Not Included","","Not Included","NotBefore","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","C2157309D9AEE17BF34F4DF5E88DBAEBA57E0361EB814CBC239F4D54D329A38D"
"Notarius","Notarius Root Certificate Authority","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","C7B8948FECCAACE5B509A343F38D0301D07901885604B3F267270E1EBBEF0FE7"
"Notarius","Notarius Root Certificate Authority","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","AAA15BDDB1C924AD7A7F22F89E5CD3E2C61407A064E011B7CF4CB618716449A4"
"OISTE","OISTE Client Root ECC G1","Not Included","","Not Included","Not Included","","Included","Email","D9A32485A8CCA85539CEF12FFFFF711378A17851D73DA2732AB4302D763BD62B"
"OISTE","OISTE Client Root RSA G1","Not Included","","Not Included","Not Included","","Included","Email","D02A0F994A868C66395F2E7A880DF509BD0C29C96DE16015A0FD501EDA4F96A9"
"OISTE","OISTE Server Root ECC G1","Not Included","","Not Included","Not Included","","Included","Websites","EEC997C0C30F216F7E3B8B307D2BAE42412D753FC8219DAFD1520B2572850F49"
"OISTE","OISTE Server Root RSA G1","Not Included","","Not Included","Not Included","","Included","Websites","9AE36232A5189FFDDB353DFD26520C015395D22777DAC59DB57B98C089A651E6"
"OISTE","OISTE WISeKey Global Root GA CA","Included","emailProtection","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Email","41C923866AB4CAD6B7AD578081582E020797A6CBDF4FFF78CE8396B38937D7F5"
"OISTE","OISTE WISeKey Global Root GB CA","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","6B9C08E86EB0F767CFAD65CD98B62149E5494A67F5845E7BD1ED019F27B86BD6"
"OISTE","OISTE WISeKey Global Root GC CA","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites","8560F91C3624DABA9570B5FEA0DBE36FF11A8323BE9486854FB3F34A5571198D"
"Open Access Technology International, Inc. (OATI)","OATI WebCARES Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","7A77C6C61EEEB9AA65C4EA410D65D895B26A81123283009DB104B48DE80B2479"
"PostSignum","PostSignum Root QCA 4","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;OCSP Signing;Secure Email;Time Stamping","Not Yet Included","","AC7F7862E685C7A7D9826A58EA32D183D4893FCC8F8FD6D900C9769A987E77F0"
"První certifikační autorita, a.s.","I.CA Root CA/ECC 05/2022","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","3808CE3E961CA532682FFB8708B544E8F175AA065601A45902DF92128FC38532"
"První certifikační autorita, a.s.","I.CA Root CA/ECC 12/2016","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","B8692148FF49C3799FA2347AE28BCC5289623512B67DC19170452ADE24BA51D5"
"První certifikační autorita, a.s.","I.CA Root CA/RSA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","D3D607A9FF24A19523B6DA9D2C649446F8788CB96D9FD130972E120C13677730"
"První certifikační autorita, a.s.","I.CA Root CA/RSA 05/2022","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","D279C01A12E8DD9A6230E459FAA447CEB336998477338C2EE4135C96737418EB"
"První certifikační autorita, a.s.","I.CA TLS Root CA/RSA 05/2022","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","F9A17A00E5C294BA9614A715819AF57F3FD48CC413453FBB8A5FC7E97964E2BC"
